Mud A,Mud B,Mud C,Depth_m
12.299563691398795,12.286298936935982,12.208091825470579,1059.4705882352941
12.299060301529765,12.285694869093147,12.20758843560155,1084.672268907563
12.298569182899922,12.285105526737333,12.207097316971705,1109.8739495798318
12.298089988121063,12.284530493002704,12.206618122192848,1135.0756302521008
12.297622380917302,12.283969364358189,12.206150514989085,1160.2773109243697
12.297166035730678,12.28342175013424,12.205694169802461,1185.4789915966387
12.296720637342123,12.282887272067976,12.205248771413908,1210.6806722689075
12.296285880507092,12.282365563865937,12.204814014578876,1235.8823529411764
12.295861469605246,12.281856270783722,12.204389603677031,1261.0840336134454
12.29544711830363,12.281359049221784,12.203975252375415,1286.2857142857142
12.295042549232747,12.280873566336723,12.20357068330453,1311.4873949579833
12.294647493675011,12.28039949966744,12.203175627746795,1336.689075630252
12.294261691265065,12.279936536775505,12.202789825336849,1361.890756302521
12.29388488970147,12.279484374899193,12.202413023773255,1387.09243697479
12.293516844469304,12.279042720620591,12.202044978541087,1412.2941176470588
12.293157318573202,12.27861128954527,12.201685452644986,1437.4957983193276
12.29280608228045,12.278189805993968,12.201334216352235,1462.6974789915967
12.292462912873683,12.277778002705846,12.200991046945466,1487.8991596638655
12.292127594412815,12.277375620552805,12.200655728484598,1513.1008403361343
12.291799917505832,12.276982408264425,12.200328051577616,1538.3025210084033
12.291479679088084,12.276598122163128,12.200007813159868,1563.5042016806722
12.291166682209722,12.276222525909093,12.199694816281506,1588.7058823529412
12.290860735830982,12.275855390254605,12.199388869902766,1613.90756302521
12.290561654624973,12.275496492807394,12.199089788696757,1639.1092436974789
12.290269258787687,12.275145617802652,12.198797392859472,1664.310924369748
12.289983373854945,12.27480255588336,12.198511507926728,1689.5126050420167
12.289703830525985,12.27446710388861,12.198231964597769,1714.7142857142858
12.28943046449346,12.27413906464958,12.197958598565245,1739.9159663865546
12.289163116279571,12.273818246792912,12.197691250351355,1765.1176470588234
12.28890163107809,12.273504464551136,12.197429765149874,1790.3193277310925
12.288645858602077,12.27319753757992,12.197173992673862,1815.5210084033613
12.288395652937025,12.272897290781858,12.19692378700881,1840.7226890756301
12.288150872399251,12.272603554136529,12.196679006471035,1865.9243697478992
12.287911379399322,12.272316162536614,12.196439513471107,1891.126050420168
12.287677040310323,12.272034955629815,12.196205174382108,1916.3277310924368
12.28744772534077,12.271759777666352,12.195975859412554,1941.5294117647059
12.28722330841201,12.27149047735184,12.195751442483795,1966.7310924369747
12.287003667039915,12.271226907705326,12.1955318011117,1991.9327731092437
12.286788682220724,12.270968925922297,12.19531681629251,2017.1344537815125
12.28657823832086,12.270716393242461,12.195106372392646,2042.3361344537814
12.286372222970586,12.27046917482213,12.194900357042371,2067.53781512605
12.286170526961337,12.270227139611032,12.194698661033122,2092.7394957983192
12.285973044146616,12.269990160233366,12.1945011782184,2117.9411764705883
12.285779671346287,12.269758112872971,12.19430780541807,2143.142857142857
12.285590308254164,12.269530877162426,12.19411844232595,2168.344537815126
12.285404857348771,12.269308336075953,12.193932991420555,2193.546218487395
12.285223223807128,12.26909037582598,12.193751357878911,2218.7478991596636
12.285045315421485,12.26887688576321,12.193573449493268,2243.9495798319326
12.284871042518883,12.268667758280088,12.193399176590669,2269.1512605042017
12.284700317883429,12.268462888717542,12.193228451955212,2294.3529411764707
12.284533056681184,12.268262175274847,12.193061190752967,2319.5546218487393
12.28436917638759,12.268065518922535,12.192897310459374,2344.7563025210084
12.284208596717328,12.26787282331822,12.192736730789111,2369.9579831932774
12.284051239556499,12.267683994725225,12.192579373628282,2395.159663865546
12.283897028897092,12.267498941933937,12.192425162968876,2420.361344537815
12.28374589077361,12.267317576185759,12.192274024845394,2445.563025210084
12.283597753201795,12.26713981109958,12.192125887273578,2470.7647058823527
12.283452546119381,12.266965562600685,12.191980680191165,2495.9663865546217
12.283310201328796,12.266794748851982,12.19183833540058,2521.168067226891
12.28317065244174,12.266627290187515,12.191698786513523,2546.3697478991594
12.283033834825574,12.266463109048116,12.191561968897359,2571.5714285714284
12.282899685551468,12.266302129919188,12.191427819623252,2596.7731092436975
12.282768143344219,12.266144279270492,12.191296277416004,2621.9747899159665
12.282639148533715,12.265989485497885,12.191167282605498,2647.176470588235
12.28251264300794,12.265837678866957,12.191040777079726,2672.378151260504
12.282388570167534,12.265688791458468,12.190916704239317,2697.5798319327732
12.282266874881762,12.265542757115542,12.190795008953547,2722.781512605042
12.282147503445943,12.265399511392559,12.190675637517728,2747.983193277311
12.282030403540206,12.265258991505675,12.19055853761199,2773.18487394958
12.281915524189568,12.265121136284908,12.190443658261351,2798.3865546218485
12.281802815725284,12.264985886127768,12.190330949797069,2823.5882352941176
12.281692229747422,12.264853182954335,12.190220363819206,2848.7899159663866
12.28158371908861,12.264722970163758,12.190111853160394,2873.991596638655
12.281477237778926,12.26459519259214,12.190005371850711,2899.1932773109243
12.281372741011905,12.264469796471715,12.18990087508369,2924.3949579831933
12.281270185111588,12.264346729391331,12.189798319183371,2949.596638655462
12.281169527500607,12.264225940258155,12.18969766157239,2974.798319327731
12.281070726669276,12.264107379260558,12.189598860741059,3000.0
